#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Hang-On & Astro Warrior (USA);Hang-On & Astro Warrior (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Hang-On & Safari Hunt (USA);Hang-On & Safari Hunt (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Hang-On (Europe);Hang-On (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Heroes of the Lance (Europe);Heroes of the Lance (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
High School! Kimengumi (Japan) (T);High School! Kimengumi (Japan) (T);SEGA Master System;;;;;;;;;;;;;;;;;;
Hokuto no Ken (Japan) (T);Hokuto no Ken (Japan) (T);SEGA Master System;;;;;;;;;;;;;;;;;;
Home Alone (Europe);Home Alone (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Hook (Europe) (Proto);Hook (Europe) (Proto);SEGA Master System;;;;;;;;;;;;;;;;;;
Hoshi wo Sagasite... (Japan) (T);Hoshi wo Sagasite... (Japan) (T);SEGA Master System;;;;;;;;;;;;;;;;;;
Impossible Mission (Europe);Impossible Mission (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Incredible Crash Dummies, The (Europe);Incredible Crash Dummies, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Incredible Hulk, The (Europe);Incredible Hulk, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Indiana Jones and the Last Crusade (Europe);Indiana Jones and the Last Crusade (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
James 'Buster' Douglas Knockout Boxing (USA);James 'Buster' Douglas Knockout Boxing (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
James Bond 007 - The Duel (Europe);James Bond 007 - The Duel (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
James Pond 2 - Codename RoboCod (Europe);James Pond 2 - Codename RoboCod (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Jang Pung 3 (Korea) (Unl);Jang Pung 3 (Korea) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
Janggun-ui Adeul (Korea);Janggun-ui Adeul (Korea);SEGA Master System;;;;;;;;;;;;;;;;;;
Joe Montana Football (USA, Europe);Joe Montana Football (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Jungle Book, The (Europe);Jungle Book, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Jurassic Park (Europe);Jurassic Park (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Kenseiden (USA, Europe);Kenseiden (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
King's Quest - Quest for the Crown (USA);King's Quest - Quest for the Crown (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Klax (Europe);Klax (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Krusty's Fun House (Europe);Krusty's Fun House (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Kung Fu Kid (USA, Europe);Kung Fu Kid (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Land of Illusion Starring Mickey Mouse (Europe);Land of Illusion Starring Mickey Mouse (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Laser Ghost (Europe);Laser Ghost (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Legend of Illusion Starring Mickey Mouse (Brazil);Legend of Illusion Starring Mickey Mouse (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Lemmings (Europe);Lemmings (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Line of Fire (Europe);Line of Fire (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Lion King, The (Europe);Lion King, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Lord of the Sword (USA, Europe);Lord of the Sword (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Lucky Dime Caper Starring Donald Duck, The (Europe);Lucky Dime Caper Starring Donald Duck, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
