#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Castlevania - Bloodlines (USA);Castlevania - Bloodlines (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Castlevania Bloodlines;Castlevania Bloodlines;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Centurion - Defender of Rome (USA, Europe);Centurion - Defender of Rome (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Chakan (USA, Europe);Chakan (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Champions World Class Soccer (World);Champions World Class Soccer (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Championship Bowling (USA);Championship Bowling (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Championship Pool (USA);Championship Pool (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Championship Pro-Am (USA);Championship Pro-Am (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Chase H.Q. II (USA);Chase H.Q. II (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Chavez II (USA);Chavez II (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cheese Cat-Astrophe Starring Speedy Gonzales (Europe);Cheese Cat-Astrophe Starring Speedy Gonzales (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Chester Cheetah - Too Cool to Fool (USA);Chester Cheetah - Too Cool to Fool (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Chester Cheetah - Wild Wild Quest (USA);Chester Cheetah - Wild Wild Quest (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Chi Chi's Pro Challenge Golf (USA);Chi Chi's Pro Challenge Golf (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Chiki Chiki Boys (USA, Europe);Chiki Chiki Boys (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Chuck Rock (USA);Chuck Rock (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Chuck Rock II - Son of Chuck (USA);Chuck Rock II - Son of Chuck (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Classic Collection (Europe);Classic Collection (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Clay Fighter (USA);Clay Fighter (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cliffhanger (USA);Cliffhanger (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Clue (USA);Clue (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Coach K College Basketball (USA);Coach K College Basketball (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
College Football USA 96 (USA);College Football USA 96 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
College Football USA 97 (USA);College Football USA 97 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
College Football's National Championship (USA);College Football's National Championship (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
College Football's National Championship II (USA);College Football's National Championship II (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
College Slam (USA);College Slam (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Columns (World) (v1.1);Columns (World) (v1.1);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Columns III - Revenge of Columns (USA);Columns III - Revenge of Columns (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Combat Cars (USA, Europe);Combat Cars (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Comix Zone;Comix Zone;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Comix Zone (USA);Comix Zone (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Contra - Hard Corps (USA, Korea);Contra - Hard Corps (USA, Korea);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Contra Hard Corps;Contra Hard Corps;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cool Spot;Cool Spot;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cool Spot (USA);Cool Spot (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cosmic Spacehead (USA, Europe);Cosmic Spacehead (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Crack Down (USA);Crack Down (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cross Fire (USA);Cross Fire (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Crue Ball - Heavy Metal Pinball (USA, Europe);Crue Ball - Heavy Metal Pinball (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Crusader of Centy (USA);Crusader of Centy (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Crystal's Pony Tale (USA);Crystal's Pony Tale (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
CutThroat Island (USA, Europe);CutThroat Island (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cyber-Cop (USA);Cyber-Cop (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
CyberBall (World);CyberBall (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cyborg Justice (USA, Europe);Cyborg Justice (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
DJ Boy (USA);DJ Boy (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
